irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
,,,,1,Physical Restlessness,Irritability,Clinical scales,Physical Restlessness,0.483,0.918,Activity Level and Self-Control,Difficulty staying still or seated,"Observable patterns of fidgeting, squirming, leaving seat, or excessive movement in situations requiring calm and stillness"
,,,,1,reflection,Self-Image,Frameworks,self-reflection/meta-cognition,0.483,0.713,Clover Model,"Reflection describes the need to create and make meaning. It involves making sense of one’s own experiences, emotions and thoughts to create a sense of personal identity. Humans are conscious creatures; in fact, many philosophers have argued that the ability to reflect and take perspective is what makes humans unique.",
,1,,1,,visioning,Future Outlook,Frameworks,planning,0.483,0.584,Kenya TVET Values and Life Skills (VaLI) Framework,"Students are able to develop a plan, goal or vision for the future. It helps them to define what and where they want to be in life as well as define what success will look like.",
,,,1,,Following Directions,Compliance,Claude Opus 4.5,Following Directions,0.482,0.942,Attention and Focus,Ability to listen to and carry out instructions,"The student's capacity to attend to verbal or written instructions and execute them accurately, including multi-step directions."
,,,,1,growth mindset,Thinking Speed,Frameworks,Growth Mindset,0.482,0.894,Character Lab,Having a growth mindset means understanding that intelligence can be developed.,
,,,,1,learning continuously,Thinking Speed,Frameworks,responding with wonderment and awe,0.482,0.606,Habits of Mind,"Intelligent people are in a continuous learning mode. Their confidence, in combination with their inquisitiveness, allows them to constantly search for new and better ways. People with this Habit of Mind are always striving for improvement, always growing, always learning, always modifying and improving themselves. They seize problems, situations, tensions, conflicts and circumstances as valuable opportunities to learn. A great mystery about humans is that we confront learning opportunities with fear rather than mystery and wonder. We seem to feel better when we know rather than when we learn. We defend our biases, beliefs, and storehouses of knowledge rather than inviting the unknown, the creative and the inspirational. Being certain and closed gives us comfort while being doubtful and open gives us fear. From an early age, employing a curriculum of fragmentation, competition and reactiveness, students are trained to believe that deep learning means figuring out the truth rather than developing capabilities for effective and thoughtful action. They have been taught to value certainty rather than doubt, to give answers rather than to inquire, to know which choice is correct rather than to explore alternatives. Our wish is for creative students and people who are eager to learn. That includes the humility of knowing that we don't know, which is the highest form of thinking we will ever learn. Paradoxically, unless you start off with humility you will never get anywhere, so as the first step you have to have already what will eventually be the crowning glory of all learning: the humility to know--and admit--that you don't know and not be afraid to find out.",
,,,1,,skillful communication,Social Communication,Frameworks,interact effectively with others,0.481,0.709,"Social, Emotional, and Ethical (SEE) Learning Framework",Communicate compassionately in a way that empowers self and others,
,,,,1,solve problems,Creativity,Frameworks,solves problems,0.48,0.772,21st Century Learning,Solve different kinds of non-familiar problems in both conventional and innovative ways; Identify and ask significant questions that clarify various points of view and lead to better solutions,
,,1,,1,Time Awareness,Screen Time,Claude Opus 4.5,Time Awareness,0.478,0.981,Organization and Planning,Understanding and managing time,"The student's sense of how long tasks take, ability to work within time constraints, and awareness of schedules and deadlines."
,,,,1,Kindness to Others,Empathy,Clinical scales,Kindness and Consideration,0.478,0.747,Helping & Caring,Prosocial and caring behavior,"A student's tendency to be kind, considerate, helpful, and caring toward peers—including offering help, sharing, and showing concern for others' feelings"
,,,,1,self-direction,Self-Confidence,Frameworks,Self-Direction,0.478,0.878,Building Blocks for Learning,"A process in which learners take the initiative in planning, implementing and evaluating their own learning needs and outcomes, with or without the help of others.",
,,,,1,critical thinking,Thinking Speed,Frameworks,critical thinking/independence,0.478,0.803,UNICEF India Comprehensive Life Skills Framework,Ability to appropriately/adequately analyse information in order to come to a judgement,
,,,,1,agency,Responsibility for Self & Others,Frameworks,Sense of Agency,0.478,0.791,Young Adult Success,"The ability to make choices about and take an active role in one's life path, rather than solely being the product of one's circumstances. Agency requires the intentionality and forethought to derive a course of action and adjust course as needed to reflect one's identity, competencies, knowledge and skills, mindsets, and values.",
,,,,1,critical thinking and problem solving,Thinking Speed,Frameworks,critical thinking,0.477,0.824,Kenya BECF Core Competencies for Basic Education,"An important outcome of quality education is teaching learners how to think critically. The British Council (2015) identifies three types of thinking: reasoning, making judgements, and problem solving. It is possible for learners to reason in an uncritical way. When learners are empowered with critical thinking, they avoid being subjective, and use logic and evidence to arrive at conclusions. Critical thinking also facilitates exploring new ways of doing things and learner autonomy. Learners learn that for every issue there are multiple perspectives that they can explore, rather than a rigid recall and regurgitation of information.",
